time,Occupancy[3rdFlrSZ],Occupancy[3rdMT],Occupancy[2ndFlrNZ],Occupancy[2ndFlrSZ],Occupancy[2ndFlrMT1],Occupancy[2ndFlrMT2],Occupancy[1stFlrNZ],Occupancy[1stFlrSZ1],Occupancy[1stFlrSZ2],Occupancy[1stFlrMT1],Occupancy[1stFlrMT2],Occupancy[GndFlrKT],Occupancy[GndFlrMT1],Occupancy[GndFlrMT2]
738000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
842400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
846000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
849600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
889200,1,0,1,1,0,0,1,1,1,0,0,7,6,3
892800,1,1,1,1,1,1,1,1,1,1,1,9,7,3
896400,5,1,5,5,1,1,5,5,5,1,1,9,7,4
900000,12,2,12,12,2,2,12,12,12,2,2,9,7,4
903600,12,3,12,12,3,3,12,12,12,3,3,5,6,5
907200,11,2,11,11,2,2,11,11,11,2,2,6,5,3
910800,11,2,11,11,2,2,11,11,11,2,2,18,7,2
914400,9,1,9,9,1,1,9,9,9,1,1,11,6,1
918000,11,2,11,11,2,2,11,11,11,2,2,0,2,1
921600,11,1,11,11,1,1,11,11,11,1,1,0,9,2
925200,11,2,11,11,2,2,11,11,11,2,2,0,14,2
928800,9,1,9,9,1,1,9,9,9,1,1,0,10,2
932400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
936000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
943200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
954000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
957600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
961200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
964800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
968400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
972000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
975600,1,0,1,1,0,0,1,1,1,0,0,5,4,2
979200,2,0,2,2,0,0,2,2,2,0,0,7,5,2
982800,7,1,7,7,1,1,7,7,7,1,1,8,7,3
986400,14,2,14,14,2,2,14,14,14,2,2,9,18,8
990000,15,2,15,15,2,2,15,15,15,2,2,6,18,12
993600,13,2,13,13,2,2,13,13,13,2,2,6,15,10
997200,11,1,11,11,1,1,11,11,11,1,1,20,10,5
1000800,8,2,8,8,2,2,8,8,8,2,2,7,6,5
1004400,10,2,10,10,2,2,10,10,10,2,2,0,8,5
1008000,12,2,12,12,2,2,12,12,12,2,2,0,6,2
1011600,13,1,13,13,1,1,13,13,13,1,1,0,4,1
1015200,10,0,10,10,0,0,10,10,10,0,0,0,2,1
1018800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1044000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1054800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1058400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1062000,0,0,0,0,0,0,0,0,0,0,0,3,3,1
1065600,1,0,1,1,0,0,1,1,1,0,0,6,4,2
1069200,5,1,5,5,1,1,5,5,5,1,1,6,15,2
1072800,14,1,14,14,1,1,14,14,14,1,1,7,26,3
1076400,14,2,14,14,2,2,14,14,14,2,2,5,20,3
1080000,17,2,17,17,2,2,17,17,17,2,2,5,14,5
1083600,17,2,17,17,2,2,17,17,17,2,2,17,9,11
1087200,16,1,16,16,1,1,16,16,16,1,1,9,5,6
1090800,14,1,14,14,1,1,14,14,14,1,1,0,6,1
1094400,16,1,16,16,1,1,16,16,16,1,1,0,4,1
1098000,16,1,16,16,1,1,16,16,16,1,1,1,3,1
1101600,13,1,13,13,1,1,13,13,13,1,1,2,2,1
1105200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1108800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1116000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1119600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1123200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1126800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1134000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1137600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1141200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1144800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1148400,0,0,0,0,0,0,0,0,0,0,0,3,3,1
1152000,1,0,1,1,0,0,1,1,1,0,0,5,3,2
1155600,4,1,4,4,1,1,4,4,4,1,1,5,4,2
1159200,13,1,13,13,1,1,13,13,13,1,1,6,4,3
1162800,16,1,16,16,1,1,16,16,16,1,1,4,5,3
1166400,15,1,15,15,1,1,15,15,15,1,1,6,5,2
1170000,13,1,13,13,1,1,13,13,13,1,1,17,5,1
1173600,9,0,9,9,0,0,9,9,9,0,0,8,4,1
1177200,10,1,10,10,1,1,10,10,10,1,1,0,2,1
1180800,13,1,13,13,1,1,13,13,13,1,1,0,0,0
1184400,12,1,12,12,1,1,12,12,12,1,1,1,0,0
1188000,9,1,9,9,1,1,9,9,9,1,1,3,1,2
1191600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1195200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1198800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1202400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1209600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1213200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1216800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1224000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1227600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1231200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1234800,0,0,0,0,0,0,0,0,0,0,0,3,3,1
1238400,1,0,1,1,0,0,1,1,1,0,0,5,4,1
1242000,3,0,3,3,0,0,3,3,3,0,0,5,14,2
1245600,11,1,11,11,1,1,11,11,11,1,1,6,23,2
1249200,14,2,14,14,2,2,14,14,14,2,2,3,11,3
1252800,13,2,13,13,2,2,13,13,13,2,2,4,5,2
1256400,11,1,11,11,1,1,11,11,11,1,1,15,4,1
1260000,8,0,8,8,0,0,8,8,8,0,0,8,3,1
1263600,11,1,11,11,1,1,11,11,11,1,1,0,4,1
1267200,11,1,11,11,1,1,11,11,11,1,1,0,3,0
1270800,11,0,11,11,0,0,11,11,11,0,0,0,3,0
1274400,10,0,10,10,0,0,10,10,10,0,0,3,3,0
1278000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1281600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1288800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1292400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1296000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1303200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1306800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1310400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1314000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1317600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1328400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1332000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1335600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1339200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1342800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1346400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1353600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1357200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1360800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1364400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1368000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1382400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1386000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1389600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1393200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1396800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1411200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1418400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1422000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1425600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1429200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1432800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1443600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1447200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1454400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1458000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1461600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1468800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1472400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1476000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1479600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1483200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1486800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1494000,1,0,1,1,0,0,1,1,1,0,0,7,6,3
1497600,1,1,1,1,1,1,1,1,1,1,1,9,7,3
1501200,5,1,5,5,1,1,5,5,5,1,1,9,7,4
1504800,12,2,12,12,2,2,12,12,12,2,2,9,7,4
1508400,12,3,12,12,3,3,12,12,12,3,3,5,6,5
1512000,11,2,11,11,2,2,11,11,11,2,2,6,5,3
1515600,11,2,11,11,2,2,11,11,11,2,2,18,7,2
1519200,9,1,9,9,1,1,9,9,9,1,1,11,6,1
1522800,11,2,11,11,2,2,11,11,11,2,2,0,2,1
1526400,11,1,11,11,1,1,11,11,11,1,1,0,9,2
1530000,11,2,11,11,2,2,11,11,11,2,2,0,14,2
1533600,9,1,9,9,1,1,9,9,9,1,1,0,10,2
1537200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1544400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1548000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1551600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
