time,UpperCO2[3rdFlrSZ],UpperCO2[3rdMT],UpperCO2[2ndFlrNZ],UpperCO2[2ndFlrSZ],UpperCO2[2ndFlrMT1],UpperCO2[2ndFlrMT2],UpperCO2[1stFlrNZ],UpperCO2[1stFlrSZ1],UpperCO2[1stFlrSZ2],UpperCO2[1stFlrMT1],UpperCO2[1stFlrMT2],UpperCO2[GndFlrKT],UpperCO2[GndFlrMT1],UpperCO2[GndFlrMT2]
878400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
882000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
885600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
889200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
892800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
896400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
900000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
903600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
907200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
910800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
914400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
918000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
921600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
925200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
928800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
932400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
936000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
939600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
943200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
946800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
950400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
954000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
957600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
961200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
964800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
968400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
972000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
975600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
979200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
982800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
986400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
990000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
993600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
997200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1000800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1004400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1008000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1011600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1015200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1018800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1022400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1026000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1029600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1033200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1036800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1040400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1044000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1047600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1051200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1054800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1058400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1062000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1065600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1069200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1072800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1076400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1080000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1083600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1087200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1090800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1094400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1098000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1101600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1105200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1108800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1112400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1116000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1119600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1123200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1126800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1130400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1134000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1137600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1141200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1144800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1148400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1152000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1155600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1159200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1162800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1166400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1170000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1173600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1177200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1180800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1184400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1188000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1191600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1195200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1198800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1202400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1206000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1209600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1213200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1216800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1220400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1224000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1227600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1231200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1234800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1238400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1242000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1245600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1249200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1252800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1256400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1260000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1263600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1267200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1270800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1274400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1278000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1281600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1285200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1288800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1292400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1296000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1299600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1303200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1306800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1310400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1314000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1317600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1321200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1324800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1328400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1332000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1335600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1339200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1342800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1346400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1350000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1353600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1357200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1360800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1364400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1368000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1371600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1375200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1378800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1382400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1386000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1389600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1393200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1396800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1400400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1404000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1407600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1411200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1414800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1418400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1422000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1425600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1429200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1432800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1436400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1440000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1443600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1447200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1450800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1454400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1458000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1461600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1465200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1468800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1472400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1476000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1479600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1483200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1486800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1490400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1494000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1497600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1501200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1504800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1508400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1512000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1515600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1519200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1522800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1526400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1530000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1533600,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1537200,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1540800,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1544400,900,900,900,900,900,900,900,900,900,900,900,900,900,900
1548000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
