time,LowerSetp[3rdFlrSZ],UpperSetp[3rdFlrSZ],LowerSetp[3rdMT],UpperSetp[3rdFlrMT],LowerSetp[2ndFlrNZ],UpperSetp[2ndFlrNZ],LowerSetp[2ndFlrSZ],UpperSetp[2ndFlrSZ],LowerSetp[2ndFlrMT1],UpperSetp[2ndFlrMT1],LowerSetp[2ndFlrMT2],UpperSetp[2ndFlrMT2],LowerSetp[1stFlrNZ],UpperSetp[1stFlrNZ],LowerSetp[1stFlrSZ1],UpperSetp[1stFlrSZ1],LowerSetp[1stFlrSZ2],UpperSetp[1stFlrSZ2],LowerSetp[1stFlrMT1],UpperSetp[1stFlrMT1],LowerSetp[1stFlrMT2],UpperSetp[1stFlrMT2],LowerSetp[GndFlrKT],UpperSetp[GndFlrKT],LowerSetp[GndFlrMT1],UpperSetp[GndFlrMT1],LowerSetp[GndFlrMT2],UpperSetp[GndFlrMT2]
248400,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
252000,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
255600,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
259200,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
262800,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
266400,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
270000,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
273600,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
277200,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65
280800,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65,306.65,283.65
284400,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
288000,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
291600,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
295200,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
298800,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
302400,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
306000,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
309600,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
313200,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
316800,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
320400,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
324000,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
327600,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
331200,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
334800,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
338400,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
342000,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
345600,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
349200,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
352800,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
356400,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
360000,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
363600,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
367200,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65,301.65,288.65
370800,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65
374400,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65
378000,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65
381600,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65,296.65,293.65
