Time,limits.TSoftUp,limits.TSoftDown,limits.THardUp,limits.THardDown,limits.Tavg
147600,296.40997,294.40997,296.90997,293.90997,295.40997
151200,296.40997,294.40997,296.90997,293.90997,295.40997
154800,301.40997,289.40997,301.90997,288.90997,295.40997
158400,301.40997,289.40997,301.90997,288.90997,295.40997
162000,301.40997,289.40997,301.90997,288.90997,295.40997
165600,301.40997,289.40997,301.90997,288.90997,295.40997
169200,301.40997,289.40997,301.90997,288.90997,295.40997
172800,301.15,289.15,301.65,288.65,295.15
176400,301.15,289.15,301.65,288.65,295.15
180000,301.15,289.15,301.65,288.65,295.15
183600,301.15,289.15,301.65,288.65,295.15
187200,301.15,289.15,301.65,288.65,295.15
190800,301.15,289.15,301.65,288.65,295.15
194400,301.15,289.15,301.65,288.65,295.15
198000,301.15,289.15,301.65,288.65,295.15
201600,301.15,289.15,301.65,288.65,295.15
205200,301.15,289.15,301.65,288.65,295.15
208800,301.15,289.15,301.65,288.65,295.15
212400,301.15,289.15,301.65,288.65,295.15
216000,301.15,289.15,301.65,288.65,295.15
219600,301.15,289.15,301.65,288.65,295.15
223200,301.15,289.15,301.65,288.65,295.15
226800,301.15,289.15,301.65,288.65,295.15
230400,301.15,289.15,301.65,288.65,295.15
234000,301.15,289.15,301.65,288.65,295.15
237600,301.15,289.15,301.65,288.65,295.15
241200,301.15,289.15,301.65,288.65,295.15
244800,301.15,289.15,301.65,288.65,295.15
248400,301.15,289.15,301.65,288.65,295.15
252000,301.15,289.15,301.65,288.65,295.15
255600,301.15,289.15,301.65,288.65,295.15
259200,301.15,289.15,301.65,288.65,295.15
262800,301.15,289.15,301.65,288.65,295.15
266400,301.15,289.15,301.65,288.65,295.15
270000,301.15,289.15,301.65,288.65,295.15
273600,301.15,289.15,301.65,288.65,295.15
277200,301.15,289.15,301.65,288.65,295.15
280800,301.15,289.15,301.65,288.65,295.15
284400,301.15,289.15,301.65,288.65,295.15
288000,301.15,289.15,301.65,288.65,295.15
291600,301.15,289.15,301.65,288.65,295.15
295200,301.15,289.15,301.65,288.65,295.15
298800,301.15,289.15,301.65,288.65,295.15
302400,301.15,289.15,301.65,288.65,295.15
306000,301.15,289.15,301.65,288.65,295.15
309600,301.15,289.15,301.65,288.65,295.15
313200,301.15,289.15,301.65,288.65,295.15
316800,301.15,289.15,301.65,288.65,295.15
320400,301.15,289.15,301.65,288.65,295.15
324000,301.15,289.15,301.65,288.65,295.15
327600,301.15,289.15,301.65,288.65,295.15
331200,301.15,289.15,301.65,288.65,295.15
334800,301.15,289.15,301.65,288.65,295.15
338400,301.15,289.15,301.65,288.65,295.15
342000,301.15,289.15,301.65,288.65,295.15
345600,301.15,289.15,301.65,288.65,295.15
349200,301.15,289.15,301.65,288.65,295.15
352800,301.15,289.15,301.65,288.65,295.15
356400,301.15,289.15,301.65,288.65,295.15
360000,301.15,289.15,301.65,288.65,295.15
363600,296.15,294.15,296.65,293.65,295.15
367200,296.15,294.15,296.65,293.65,295.15
370800,296.15,294.15,296.65,293.65,295.15
374400,296.15,294.15,296.65,293.65,295.15
378000,296.15,294.15,296.65,293.65,295.15
381600,296.15,294.15,296.65,293.65,295.15
385200,296.15,294.15,296.65,293.65,295.15
388800,296.15,294.15,296.65,293.65,295.15
392400,296.15,294.15,296.65,293.65,295.15
396000,296.15,294.15,296.65,293.65,295.15
399600,296.15,294.15,296.65,293.65,295.15
403200,296.15,294.15,296.65,293.65,295.15
406800,296.15,294.15,296.65,293.65,295.15
410400,296.15,294.15,296.65,293.65,295.15
414000,301.15,289.15,301.65,288.65,295.15
417600,301.15,289.15,301.65,288.65,295.15
421200,301.15,289.15,301.65,288.65,295.15
424800,301.15,289.15,301.65,288.65,295.15
428400,301.15,289.15,301.65,288.65,295.15
432000,301.15,289.15,301.65,288.65,295.15
435600,301.15,289.15,301.65,288.65,295.15
439200,301.15,289.15,301.65,288.65,295.15
442800,301.15,289.15,301.65,288.65,295.15
446400,301.15,289.15,301.65,288.65,295.15
450000,296.15,294.15,296.65,293.65,295.15
453600,296.15,294.15,296.65,293.65,295.15
457200,296.15,294.15,296.65,293.65,295.15
460800,296.15,294.15,296.65,293.65,295.15
464400,296.15,294.15,296.65,293.65,295.15
468000,296.15,294.15,296.65,293.65,295.15
471600,296.15,294.15,296.65,293.65,295.15
475200,296.15,294.15,296.65,293.65,295.15
478800,296.15,294.15,296.65,293.65,295.15
482400,296.15,294.15,296.65,293.65,295.15
486000,296.15,294.15,296.65,293.65,295.15
489600,296.15,294.15,296.65,293.65,295.15
493200,296.15,294.15,296.65,293.65,295.15
496800,296.15,294.15,296.65,293.65,295.15
500400,301.15,289.15,301.65,288.65,295.15
504000,301.15,289.15,301.65,288.65,295.15
507600,301.15,289.15,301.65,288.65,295.15
511200,301.15,289.15,301.65,288.65,295.15
514800,301.15,289.15,301.65,288.65,295.15
518400,301.15,289.15,301.65,288.65,295.15
522000,301.15,289.15,301.65,288.65,295.15
525600,301.15,289.15,301.65,288.65,295.15
529200,301.15,289.15,301.65,288.65,295.15
532800,301.15,289.15,301.65,288.65,295.15
536400,296.15,294.15,296.65,293.65,295.15
540000,296.15,294.15,296.65,293.65,295.15
543600,296.15,294.15,296.65,293.65,295.15
547200,296.15,294.15,296.65,293.65,295.15
550800,296.15,294.15,296.65,293.65,295.15
554400,296.15,294.15,296.65,293.65,295.15
558000,296.15,294.15,296.65,293.65,295.15
561600,296.15,294.15,296.65,293.65,295.15
565200,296.15,294.15,296.65,293.65,295.15
568800,296.15,294.15,296.65,293.65,295.15
572400,296.15,294.15,296.65,293.65,295.15
576000,296.15,294.15,296.65,293.65,295.15
579600,296.15,294.15,296.65,293.65,295.15
583200,296.15,294.15,296.65,293.65,295.15
586800,301.15,289.15,301.65,288.65,295.15
590400,301.15,289.15,301.65,288.65,295.15
594000,301.15,289.15,301.65,288.65,295.15
597600,301.15,289.15,301.65,288.65,295.15
601200,301.15,289.15,301.65,288.65,295.15
604800,301.15,289.15,301.65,288.65,295.15
608400,301.15,289.15,301.65,288.65,295.15
612000,301.15,289.15,301.65,288.65,295.15
615600,301.15,289.15,301.65,288.65,295.15
619200,301.15,289.15,301.65,288.65,295.15
622800,296.15,294.15,296.65,293.65,295.15
626400,296.15,294.15,296.65,293.65,295.15
630000,296.15,294.15,296.65,293.65,295.15
633600,296.15,294.15,296.65,293.65,295.15
637200,296.15,294.15,296.65,293.65,295.15
640800,296.15,294.15,296.65,293.65,295.15
644400,296.15,294.15,296.65,293.65,295.15
648000,296.15,294.15,296.65,293.65,295.15
651600,296.15,294.15,296.65,293.65,295.15
655200,296.15,294.15,296.65,293.65,295.15
658800,296.15,294.15,296.65,293.65,295.15
662400,296.15,294.15,296.65,293.65,295.15
666000,296.15,294.15,296.65,293.65,295.15
669600,296.15,294.15,296.65,293.65,295.15
673200,301.15,289.15,301.65,288.65,295.15
676800,301.15,289.15,301.65,288.65,295.15
680400,301.15,289.15,301.65,288.65,295.15
684000,301.15,289.15,301.65,288.65,295.15
687600,301.15,289.15,301.65,288.65,295.15
691200,301.15,289.15,301.65,288.65,295.15
694800,301.15,289.15,301.65,288.65,295.15
698400,301.15,289.15,301.65,288.65,295.15
702000,301.15,289.15,301.65,288.65,295.15
705600,301.15,289.15,301.65,288.65,295.15
709200,296.15,294.15,296.65,293.65,295.15
712800,296.15,294.15,296.65,293.65,295.15
716400,296.15,294.15,296.65,293.65,295.15
720000,296.15,294.15,296.65,293.65,295.15
723600,296.15,294.15,296.65,293.65,295.15
727200,296.15,294.15,296.65,293.65,295.15
730800,296.15,294.15,296.65,293.65,295.15
734400,296.15,294.15,296.65,293.65,295.15
738000,296.15,294.15,296.65,293.65,295.15
741600,296.15,294.15,296.65,293.65,295.15
745200,296.15,294.15,296.65,293.65,295.15
748800,296.15,294.15,296.65,293.65,295.15
752400,296.15,294.15,296.65,293.65,295.15
756000,296.15,294.15,296.65,293.65,295.15
759600,301.15,289.15,301.65,288.65,295.15
763200,301.15,289.15,301.65,288.65,295.15
766800,301.15,289.15,301.65,288.65,295.15
770400,301.15,289.15,301.65,288.65,295.15
774000,301.15,289.15,301.65,288.65,295.15
777600,301.15,289.15,301.65,288.65,295.15
781200,301.15,289.15,301.65,288.65,295.15
784800,301.15,289.15,301.65,288.65,295.15
788400,301.15,289.15,301.65,288.65,295.15
792000,301.15,289.15,301.65,288.65,295.15
795600,301.15,289.15,301.65,288.65,295.15
799200,301.15,289.15,301.65,288.65,295.15
802800,301.15,289.15,301.65,288.65,295.15
806400,301.15,289.15,301.65,288.65,295.15
810000,301.15,289.15,301.65,288.65,295.15
813600,301.15,289.15,301.65,288.65,295.15
817200,301.15,289.15,301.65,288.65,295.15
820800,301.15,289.15,301.65,288.65,295.15
824400,301.15,289.15,301.65,288.65,295.15
828000,301.15,289.15,301.65,288.65,295.15
831600,301.15,289.15,301.65,288.65,295.15
835200,301.15,289.15,301.65,288.65,295.15
838800,301.15,289.15,301.65,288.65,295.15
842400,301.15,289.15,301.65,288.65,295.15
846000,301.15,289.15,301.65,288.65,295.15
849600,301.15,289.15,301.65,288.65,295.15
853200,301.15,289.15,301.65,288.65,295.15
856800,301.15,289.15,301.65,288.65,295.15
860400,301.15,289.15,301.65,288.65,295.15
864000,301.15,289.15,301.65,288.65,295.15
867600,301.15,289.15,301.65,288.65,295.15
871200,301.15,289.15,301.65,288.65,295.15
874800,301.15,289.15,301.65,288.65,295.15
878400,301.15,289.15,301.65,288.65,295.15
882000,301.15,289.15,301.65,288.65,295.15
885600,301.15,289.15,301.65,288.65,295.15
889200,301.15,289.15,301.65,288.65,295.15
892800,301.15,289.15,301.65,288.65,295.15
896400,301.15,289.15,301.65,288.65,295.15
900000,301.15,289.15,301.65,288.65,295.15
903600,301.15,289.15,301.65,288.65,295.15
907200,301.15,289.15,301.65,288.65,295.15
910800,301.15,289.15,301.65,288.65,295.15
914400,301.15,289.15,301.65,288.65,295.15
918000,301.15,289.15,301.65,288.65,295.15
921600,301.15,289.15,301.65,288.65,295.15
925200,301.15,289.15,301.65,288.65,295.15
928800,301.15,289.15,301.65,288.65,295.15
932400,301.15,289.15,301.65,288.65,295.15
936000,301.15,289.15,301.65,288.65,295.15
939600,301.15,289.15,301.65,288.65,295.15
943200,301.15,289.15,301.65,288.65,295.15
946800,301.15,289.15,301.65,288.65,295.15
950400,301.15,289.15,301.65,288.65,295.15
954000,301.15,289.15,301.65,288.65,295.15
957600,301.15,289.15,301.65,288.65,295.15
961200,301.15,289.15,301.65,288.65,295.15
964800,301.15,289.15,301.65,288.65,295.15
968400,296.15,294.15,296.65,293.65,295.15
972000,296.15,294.15,296.65,293.65,295.15
975600,296.15,294.15,296.65,293.65,295.15
979200,296.15,294.15,296.65,293.65,295.15
982800,296.15,294.15,296.65,293.65,295.15
986400,296.15,294.15,296.65,293.65,295.15
990000,296.15,294.15,296.65,293.65,295.15
993600,296.15,294.15,296.65,293.65,295.15
997200,296.15,294.15,296.65,293.65,295.15
1000800,296.15,294.15,296.65,293.65,295.15
1004400,296.15,294.15,296.65,293.65,295.15
1008000,296.15,294.15,296.65,293.65,295.15
1011600,296.15,294.15,296.65,293.65,295.15
1015200,296.15,294.15,296.65,293.65,295.15
1018800,301.15,289.15,301.65,288.65,295.15
1022400,301.15,289.15,301.65,288.65,295.15
1026000,301.15,289.15,301.65,288.65,295.15
1029600,301.15,289.15,301.65,288.65,295.15
1033200,301.15,289.15,301.65,288.65,295.15
1036800,301.15,289.15,301.65,288.65,295.15
1040400,301.15,289.15,301.65,288.65,295.15
1044000,301.15,289.15,301.65,288.65,295.15
1047600,301.15,289.15,301.65,288.65,295.15
1051200,301.15,289.15,301.65,288.65,295.15
1054800,296.15,294.15,296.65,293.65,295.15
1058400,296.15,294.15,296.65,293.65,295.15
1062000,296.15,294.15,296.65,293.65,295.15
1065600,296.15,294.15,296.65,293.65,295.15
1069200,296.15,294.15,296.65,293.65,295.15
1072800,296.15,294.15,296.65,293.65,295.15
1076400,296.15,294.15,296.65,293.65,295.15
1080000,296.15,294.15,296.65,293.65,295.15
1083600,296.15,294.15,296.65,293.65,295.15
1087200,296.15,294.15,296.65,293.65,295.15
1090800,296.15,294.15,296.65,293.65,295.15
1094400,296.15,294.15,296.65,293.65,295.15
1098000,296.15,294.15,296.65,293.65,295.15
1101600,296.15,294.15,296.65,293.65,295.15
1105200,301.15,289.15,301.65,288.65,295.15
1108800,301.15,289.15,301.65,288.65,295.15
1112400,301.15,289.15,301.65,288.65,295.15
1116000,301.15,289.15,301.65,288.65,295.15
1119600,301.15,289.15,301.65,288.65,295.15
1123200,301.15,289.15,301.65,288.65,295.15
1126800,301.15,289.15,301.65,288.65,295.15
1130400,301.15,289.15,301.65,288.65,295.15
1134000,301.15,289.15,301.65,288.65,295.15
1137600,301.15,289.15,301.65,288.65,295.15
1141200,296.15,294.15,296.65,293.65,295.15
1144800,296.15,294.15,296.65,293.65,295.15
1148400,296.15,294.15,296.65,293.65,295.15
1152000,296.15,294.15,296.65,293.65,295.15
1155600,296.15,294.15,296.65,293.65,295.15
1159200,296.15,294.15,296.65,293.65,295.15
1162800,296.15,294.15,296.65,293.65,295.15
1166400,296.15,294.15,296.65,293.65,295.15
1170000,296.15,294.15,296.65,293.65,295.15
1173600,296.15,294.15,296.65,293.65,295.15
1177200,296.15,294.15,296.65,293.65,295.15
1180800,296.15,294.15,296.65,293.65,295.15
1184400,296.15,294.15,296.65,293.65,295.15
1188000,296.15,294.15,296.65,293.65,295.15
1191600,301.15,289.15,301.65,288.65,295.15
1195200,301.15,289.15,301.65,288.65,295.15
1198800,301.15,289.15,301.65,288.65,295.15
1202400,301.15,289.15,301.65,288.65,295.15
1206000,301.15,289.15,301.65,288.65,295.15
1209600,301.15,289.15,301.65,288.65,295.15
1213200,301.15,289.15,301.65,288.65,295.15
1216800,301.15,289.15,301.65,288.65,295.15
1220400,301.15,289.15,301.65,288.65,295.15
1224000,301.15,289.15,301.65,288.65,295.15
1227600,296.15,294.15,296.65,293.65,295.15
1231200,296.15,294.15,296.65,293.65,295.15
1234800,296.15,294.15,296.65,293.65,295.15
1238400,296.15,294.15,296.65,293.65,295.15
1242000,296.15,294.15,296.65,293.65,295.15
1245600,296.15,294.15,296.65,293.65,295.15
1249200,296.15,294.15,296.65,293.65,295.15
1252800,296.15,294.15,296.65,293.65,295.15
1256400,296.15,294.15,296.65,293.65,295.15
1260000,296.15,294.15,296.65,293.65,295.15
1263600,296.15,294.15,296.65,293.65,295.15
1267200,296.15,294.15,296.65,293.65,295.15
1270800,296.15,294.15,296.65,293.65,295.15
1274400,296.15,294.15,296.65,293.65,295.15
1278000,301.15,289.15,301.65,288.65,295.15
1281600,301.15,289.15,301.65,288.65,295.15
1285200,301.15,289.15,301.65,288.65,295.15
1288800,301.15,289.15,301.65,288.65,295.15
1292400,301.15,289.15,301.65,288.65,295.15
1296000,301.15,289.15,301.65,288.65,295.15
1299600,301.15,289.15,301.65,288.65,295.15
1303200,301.15,289.15,301.65,288.65,295.15
1306800,301.15,289.15,301.65,288.65,295.15
1310400,301.15,289.15,301.65,288.65,295.15
1314000,296.15,294.15,296.65,293.65,295.15
1317600,296.15,294.15,296.65,293.65,295.15
1321200,296.15,294.15,296.65,293.65,295.15
1324800,296.15,294.15,296.65,293.65,295.15
1328400,296.15,294.15,296.65,293.65,295.15
1332000,296.15,294.15,296.65,293.65,295.15
1335600,296.15,294.15,296.65,293.65,295.15
1339200,296.15,294.15,296.65,293.65,295.15
1342800,296.15,294.15,296.65,293.65,295.15
1346400,296.15,294.15,296.65,293.65,295.15
1350000,296.15,294.15,296.65,293.65,295.15
1353600,296.15,294.15,296.65,293.65,295.15
1357200,296.15,294.15,296.65,293.65,295.15
1360800,296.15,294.15,296.65,293.65,295.15
1364400,301.15,289.15,301.65,288.65,295.15
1368000,301.15,289.15,301.65,288.65,295.15
1371600,301.15,289.15,301.65,288.65,295.15
1375200,301.15,289.15,301.65,288.65,295.15
1378800,301.15,289.15,301.65,288.65,295.15
1382400,301.15,289.15,301.65,288.65,295.15
1386000,301.15,289.15,301.65,288.65,295.15
1389600,301.15,289.15,301.65,288.65,295.15
1393200,301.15,289.15,301.65,288.65,295.15
1396800,301.15,289.15,301.65,288.65,295.15
1400400,301.15,289.15,301.65,288.65,295.15
1404000,301.15,289.15,301.65,288.65,295.15
1407600,301.15,289.15,301.65,288.65,295.15
1411200,301.15,289.15,301.65,288.65,295.15
1414800,301.15,289.15,301.65,288.65,295.15
1418400,301.15,289.15,301.65,288.65,295.15
1422000,301.15,289.15,301.65,288.65,295.15
1425600,301.15,289.15,301.65,288.65,295.15
1429200,301.15,289.15,301.65,288.65,295.15
1432800,301.15,289.15,301.65,288.65,295.15
1436400,301.15,289.15,301.65,288.65,295.15
1440000,301.15,289.15,301.65,288.65,295.15
1443600,301.15,289.15,301.65,288.65,295.15
1447200,301.15,289.15,301.65,288.65,295.15
1450800,301.15,289.15,301.65,288.65,295.15
1454400,301.15,289.15,301.65,288.65,295.15
1458000,301.15,289.15,301.65,288.65,295.15
1461600,301.15,289.15,301.65,288.65,295.15
1465200,301.15,289.15,301.65,288.65,295.15
1468800,301.15,289.15,301.65,288.65,295.15
1472400,301.15,289.15,301.65,288.65,295.15
1476000,301.15,289.15,301.65,288.65,295.15
1479600,301.15,289.15,301.65,288.65,295.15
1483200,301.15,289.15,301.65,288.65,295.15
1486800,301.15,289.15,301.65,288.65,295.15
1490400,301.15,289.15,301.65,288.65,295.15
1494000,301.15,289.15,301.65,288.65,295.15
1497600,301.15,289.15,301.65,288.65,295.15
1501200,301.15,289.15,301.65,288.65,295.15
1504800,301.15,289.15,301.65,288.65,295.15
1508400,301.15,289.15,301.65,288.65,295.15
1512000,301.15,289.15,301.65,288.65,295.15
1515600,301.15,289.15,301.65,288.65,295.15
1519200,301.15,289.15,301.65,288.65,295.15
1522800,301.15,289.15,301.65,288.65,295.15
1526400,301.15,289.15,301.65,288.65,295.15
1530000,301.15,289.15,301.65,288.65,295.15
1533600,301.15,289.15,301.65,288.65,295.15
1537200,301.15,289.15,301.65,288.65,295.15
1540800,301.15,289.15,301.65,288.65,295.15
1544400,301.15,289.15,301.65,288.65,295.15
1548000,301.15,289.15,301.65,288.65,295.15
1551600,301.15,289.15,301.65,288.65,295.15
1555200,301.15,289.15,301.65,288.65,295.15
1558800,301.15,289.15,301.65,288.65,295.15
1562400,301.15,289.15,301.65,288.65,295.15
1566000,301.15,289.15,301.65,288.65,295.15
1569600,301.15,289.15,301.65,288.65,295.15
1573200,296.15,294.15,296.65,293.65,295.15
1576800,296.15,294.15,296.65,293.65,295.15
1580400,296.15,294.15,296.65,293.65,295.15
1584000,296.15,294.15,296.65,293.65,295.15
1587600,296.15,294.15,296.65,293.65,295.15
1591200,296.15,294.15,296.65,293.65,295.15
1594800,296.15,294.15,296.65,293.65,295.15
1598400,296.15,294.15,296.65,293.65,295.15
1602000,296.15,294.15,296.65,293.65,295.15
1605600,296.15,294.15,296.65,293.65,295.15
1609200,296.15,294.15,296.65,293.65,295.15
1612800,296.15,294.15,296.65,293.65,295.15
1616400,296.15,294.15,296.65,293.65,295.15
1620000,296.15,294.15,296.65,293.65,295.15
1623600,301.15,289.15,301.65,288.65,295.15
1627200,301.15,289.15,301.65,288.65,295.15
1630800,301.15,289.15,301.65,288.65,295.15
1634400,301.15,289.15,301.65,288.65,295.15
1638000,301.15,289.15,301.65,288.65,295.15
1641600,301.15,289.15,301.65,288.65,295.15
1645200,301.15,289.15,301.65,288.65,295.15
1648800,301.15,289.15,301.65,288.65,295.15
1652400,301.15,289.15,301.65,288.65,295.15
1656000,301.15,289.15,301.65,288.65,295.15
1659600,296.15,294.15,296.65,293.65,295.15
1663200,296.15,294.15,296.65,293.65,295.15
1666800,296.15,294.15,296.65,293.65,295.15
1670400,296.15,294.15,296.65,293.65,295.15
1674000,296.15,294.15,296.65,293.65,295.15
1677600,296.15,294.15,296.65,293.65,295.15
1681200,296.15,294.15,296.65,293.65,295.15
1684800,296.15,294.15,296.65,293.65,295.15
1688400,296.15,294.15,296.65,293.65,295.15
1692000,296.15,294.15,296.65,293.65,295.15
1695600,296.15,294.15,296.65,293.65,295.15
1699200,296.15,294.15,296.65,293.65,295.15
1702800,296.15,294.15,296.65,293.65,295.15
1706400,296.15,294.15,296.65,293.65,295.15
1710000,301.15,289.15,301.65,288.65,295.15
1713600,301.15,289.15,301.65,288.65,295.15
1717200,301.15,289.15,301.65,288.65,295.15
1720800,301.15,289.15,301.65,288.65,295.15
1724400,301.15,289.15,301.65,288.65,295.15
1728000,301.15,289.15,301.65,288.65,295.15
1731600,301.15,289.15,301.65,288.65,295.15
1735200,301.15,289.15,301.65,288.65,295.15
1738800,301.15,289.15,301.65,288.65,295.15
1742400,301.15,289.15,301.65,288.65,295.15
1746000,296.15,294.15,296.65,293.65,295.15
1749600,296.15,294.15,296.65,293.65,295.15
1753200,296.15,294.15,296.65,293.65,295.15
1756800,296.15,294.15,296.65,293.65,295.15
1760400,296.15,294.15,296.65,293.65,295.15
1764000,296.15,294.15,296.65,293.65,295.15
1767600,296.15,294.15,296.65,293.65,295.15
1771200,296.15,294.15,296.65,293.65,295.15
1774800,296.15,294.15,296.65,293.65,295.15
1778400,296.15,294.15,296.65,293.65,295.15
1782000,296.15,294.15,296.65,293.65,295.15
1785600,296.15,294.15,296.65,293.65,295.15
1789200,296.15,294.15,296.65,293.65,295.15
1792800,296.15,294.15,296.65,293.65,295.15
1796400,301.15,289.15,301.65,288.65,295.15
1800000,301.15,289.15,301.65,288.65,295.15
1803600,301.15,289.15,301.65,288.65,295.15
1807200,301.15,289.15,301.65,288.65,295.15
1810800,301.15,289.15,301.65,288.65,295.15
1814400,301.15,289.15,301.65,288.65,295.15
1818000,301.15,289.15,301.65,288.65,295.15
1821600,301.15,289.15,301.65,288.65,295.15
1825200,301.15,289.15,301.65,288.65,295.15
1828800,301.15,289.15,301.65,288.65,295.15
1832400,296.15,294.15,296.65,293.65,295.15
1836000,296.15,294.15,296.65,293.65,295.15
1839600,296.15,294.15,296.65,293.65,295.15
1843200,296.15,294.15,296.65,293.65,295.15
1846800,296.15,294.15,296.65,293.65,295.15
1850400,296.15,294.15,296.65,293.65,295.15
1854000,296.15,294.15,296.65,293.65,295.15
1857600,296.15,294.15,296.65,293.65,295.15
1861200,296.15,294.15,296.65,293.65,295.15
1864800,296.15,294.15,296.65,293.65,295.15
1868400,296.15,294.15,296.65,293.65,295.15
1872000,296.15,294.15,296.65,293.65,295.15
1875600,296.15,294.15,296.65,293.65,295.15
1879200,296.15,294.15,296.65,293.65,295.15
1882800,301.15,289.15,301.65,288.65,295.15
1886400,301.15,289.15,301.65,288.65,295.15
1890000,301.15,289.15,301.65,288.65,295.15
1893600,301.15,289.15,301.65,288.65,295.15
1897200,301.15,289.15,301.65,288.65,295.15
1900800,301.15,289.15,301.65,288.65,295.15
1904400,301.15,289.15,301.65,288.65,295.15
1908000,301.15,289.15,301.65,288.65,295.15
1911600,301.15,289.15,301.65,288.65,295.15
1915200,301.15,289.15,301.65,288.65,295.15
1918800,296.15,294.15,296.65,293.65,295.15
1922400,296.15,294.15,296.65,293.65,295.15
1926000,296.15,294.15,296.65,293.65,295.15
1929600,296.15,294.15,296.65,293.65,295.15
1933200,296.15,294.15,296.65,293.65,295.15
1936800,296.15,294.15,296.65,293.65,295.15
1940400,296.15,294.15,296.65,293.65,295.15
1944000,296.15,294.15,296.65,293.65,295.15
1947600,296.15,294.15,296.65,293.65,295.15
1951200,296.15,294.15,296.65,293.65,295.15
1954800,296.15,294.15,296.65,293.65,295.15
1958400,296.15,294.15,296.65,293.65,295.15
1962000,296.15,294.15,296.65,293.65,295.15
1965600,296.15,294.15,296.65,293.65,295.15
1969200,301.15,289.15,301.65,288.65,295.15
1972800,301.15,289.15,301.65,288.65,295.15
1976400,301.15,289.15,301.65,288.65,295.15
1980000,301.15,289.15,301.65,288.65,295.15
1983600,301.15,289.15,301.65,288.65,295.15
1987200,301.15,289.15,301.65,288.65,295.15
1990800,301.15,289.15,301.65,288.65,295.15
1994400,301.15,289.15,301.65,288.65,295.15
1998000,301.15,289.15,301.65,288.65,295.15
2001600,301.15,289.15,301.65,288.65,295.15
2005200,301.15,289.15,301.65,288.65,295.15
2008800,301.15,289.15,301.65,288.65,295.15
2012400,301.15,289.15,301.65,288.65,295.15
2016000,301.15,289.15,301.65,288.65,295.15
2019600,301.15,289.15,301.65,288.65,295.15
2023200,301.15,289.15,301.65,288.65,295.15
2026800,301.15,289.15,301.65,288.65,295.15
2030400,301.15,289.15,301.65,288.65,295.15
2034000,301.15,289.15,301.65,288.65,295.15
2037600,301.15,289.15,301.65,288.65,295.15
2041200,301.15,289.15,301.65,288.65,295.15
2044800,301.15,289.15,301.65,288.65,295.15
2048400,301.15,289.15,301.65,288.65,295.15
2052000,301.15,289.15,301.65,288.65,295.15
2055600,301.15,289.15,301.65,288.65,295.15
2059200,301.15,289.15,301.65,288.65,295.15
2062800,301.15,289.15,301.65,288.65,295.15
2066400,301.15,289.15,301.65,288.65,295.15
2070000,301.15,289.15,301.65,288.65,295.15
2073600,301.15,289.15,301.65,288.65,295.15
2077200,301.15,289.15,301.65,288.65,295.15
2080800,301.15,289.15,301.65,288.65,295.15
2084400,301.15,289.15,301.65,288.65,295.15
2088000,301.15,289.15,301.65,288.65,295.15
2091600,301.15,289.15,301.65,288.65,295.15
2095200,301.15,289.15,301.65,288.65,295.15
2098800,301.15,289.15,301.65,288.65,295.15
2102400,301.15,289.15,301.65,288.65,295.15
2106000,301.15,289.15,301.65,288.65,295.15
