Time,occupancy.y[1],ou44Bdg.qGai_flow[1],ou44Bdg.qGai_flow[2],ou44Bdg.qGai_flow[3],conPIDrad.u_s
13200,2.8358831,0.016014399,0.016014399,0.0080071995,288.15
13500,2.8776078,0.01625002,0.01625002,0.00812501,288.15
13800,2.9193325,0.016485643,0.016485643,0.008242821,288.15
14100,2.961057,0.016721264,0.016721264,0.008360632,288.15
14400,3.0027816,0.016956884,0.016956884,0.008478442,288.15
14700,3.0445063,0.017192505,0.017192505,0.008596253,288.15
15000,3.086231,0.017428128,0.017428128,0.008714064,288.15
15300,3.1279554,0.017663749,0.017663749,0.0088318745,288.15
15600,3.16968,0.01789937,0.01789937,0.008949685,288.15
15900,3.2114048,0.01813499,0.01813499,0.009067495,288.15
16200,3.2531292,0.018370613,0.018370613,0.009185307,288.15
16500,3.294854,0.018606234,0.018606234,0.009303117,288.15
16800,3.3365786,0.018841855,0.018841855,0.009420928,288.15
17100,3.3783033,0.019077476,0.019077476,0.009538738,288.15
17400,3.4200277,0.019313099,0.019313099,0.009656549,288.15
17700,3.4617524,0.01954872,0.01954872,0.00977436,288.15
18000,3.503477,0.01978434,0.01978434,0.00989217,288.15
18300,3.5452018,0.020019962,0.020019962,0.010009981,288.15
18600,3.5869262,0.020255584,0.020255584,0.010127792,288.15
18900,3.628651,0.020491205,0.020491205,0.010245603,288.15
19200,3.6703756,0.020726826,0.020726826,0.010363413,288.15
19500,3.7121,0.020962447,0.020962447,0.010481223,288.15
19800,3.7538247,0.02119807,0.02119807,0.010599035,288.15
20100,3.7955494,0.02143369,0.02143369,0.010716845,288.15
20400,3.837274,0.021669311,0.021669311,0.010834656,288.15
20700,3.8789985,0.021904934,0.021904934,0.010952467,288.15
21000,3.9207232,0.022140555,0.022140555,0.011070278,288.15
21300,3.962448,0.022376176,0.022376176,0.011188088,288.15
21600,4.0041723,0.022611797,0.022611797,0.011305898,288.15
21900,4.045897,0.02284742,0.02284742,0.01142371,288.15
22200,4.0876217,0.02308304,0.02308304,0.01154152,288.15
22500,4.1293464,0.023318661,0.023318661,0.011659331,288.15
22800,4.171071,0.023554282,0.023554282,0.011777141,288.15
23100,4.2127957,0.023789905,0.023789905,0.0118949525,288.15
23400,4.25452,0.024025526,0.024025526,0.012012763,288.15
23700,4.2962446,0.024261147,0.024261147,0.012130573,288.15
24000,4.3379693,0.024496768,0.024496768,0.012248384,288.15
24300,4.379694,0.02473239,0.02473239,0.012366195,288.15
24600,4.4214187,0.024968011,0.024968011,0.012484006,288.15
24900,4.4631433,0.025203632,0.025203632,0.012601816,288.15
25200,4.504868,0.025439253,0.025439253,0.012719627,288.15
25500,4.5465927,0.025674876,0.025674876,0.012837438,288.15
25800,4.588317,0.025910497,0.025910497,0.012955248,288.15
26100,4.6300416,0.026146118,0.026146118,0.013073059,288.15
26400,4.6717663,0.026381738,0.026381738,0.013190869,288.15
26700,4.713491,0.026617361,0.026617361,0.013308681,288.15
27000,4.7552156,0.026852982,0.026852982,0.013426491,288.15
27300,4.7969403,0.027088603,0.027088603,0.0135443015,288.15
27600,4.838665,0.027324224,0.027324224,0.013662112,288.15
27900,4.880389,0.027559847,0.027559847,0.013779923,288.15
28200,4.922114,0.027795468,0.027795468,0.013897734,288.15
28500,4.9638386,0.028031088,0.028031088,0.014015544,288.15
28800,5.0055633,0.028266711,0.028266711,0.014133356,288.15
29100,5.047288,0.028502332,0.028502332,0.014251166,288.15
29400,5.0890126,0.028737953,0.028737953,0.0143689765,288.15
29700,5.1307373,0.028973574,0.028973574,0.014486787,288.15
30000,5.172462,0.029209197,0.029209197,0.014604598,288.15
30300,5.214186,0.029444817,0.029444817,0.014722409,288.15
30600,5.255911,0.029680438,0.029680438,0.014840219,288.15
30900,5.2976356,0.02991606,0.02991606,0.01495803,288.15
31200,5.33936,0.030151682,0.030151682,0.015075841,288.15
31500,5.381085,0.030387303,0.030387303,0.015193651,288.15
31800,5.4228096,0.030622924,0.030622924,0.015311462,288.15
32100,5.4645343,0.030858545,0.030858545,0.015429272,288.15
32400,5.5062585,0.031094167,0.031094167,0.015547084,288.15
32700,5.547983,0.03132979,0.03132979,0.015664894,288.15
33000,5.589708,0.03156541,0.03156541,0.015782705,288.15
33300,5.6314325,0.03180103,0.03180103,0.015900515,288.15
33600,5.673157,0.03203665,0.03203665,0.016018325,288.15
33900,5.714882,0.03227227,0.03227227,0.016136136,288.15
34200,5.7566066,0.032507896,0.032507896,0.016253948,288.15
34500,5.798331,0.032743517,0.032743517,0.016371759,288.15
34800,5.8400555,0.03297914,0.03297914,0.01648957,288.15
35100,5.88178,0.03321476,0.03321476,0.01660738,288.15
35400,5.923505,0.03345038,0.03345038,0.01672519,288.15
35700,5.9652295,0.033686,0.033686,0.016843,288.15
36000,6.006954,0.03392162,0.03392162,0.01696081,288.15
36300,6.048679,0.034157246,0.034157246,0.017078623,288.15
36600,6.0904036,0.034392867,0.034392867,0.017196434,288.15
36900,6.132128,0.034628488,0.034628488,0.017314244,288.15
37200,6.1738524,0.03486411,0.03486411,0.017432055,288.15
37500,6.215577,0.03509973,0.03509973,0.017549865,288.15
37800,6.257302,0.03533535,0.03533535,0.017667675,288.15
38100,6.2990265,0.03557097,0.03557097,0.017785486,288.15
38400,6.340751,0.035806593,0.035806593,0.017903296,288.15
38700,6.382476,0.036042217,0.036042217,0.018021109,288.15
39000,6.4242,0.036277838,0.036277838,0.018138919,288.15
39300,6.4659247,0.03651346,0.03651346,0.01825673,288.15
39600,6.5076494,0.03674908,0.03674908,0.01837454,288.15
39900,6.549374,0.0369847,0.0369847,0.01849235,288.15
40200,6.591099,0.03722032,0.03722032,0.01861016,288.15
40500,6.6328235,0.037455942,0.037455942,0.018727971,288.15
40800,6.674548,0.037691563,0.037691563,0.018845782,288.15
41100,6.716273,0.037927188,0.037927188,0.018963594,288.15
41400,6.757997,0.03816281,0.03816281,0.019081404,288.15
41700,6.7997217,0.03839843,0.03839843,0.019199215,288.15
42000,6.8414464,0.03863405,0.03863405,0.019317025,288.15
42300,6.883171,0.03886967,0.03886967,0.019434836,288.15
42600,6.924896,0.039105292,0.039105292,0.019552646,288.15
42900,6.9666204,0.039340913,0.039340913,0.019670457,288.15
43200,7.0804596,0.03998377,0.03998377,0.019991886,288.15
43500,7.4827585,0.042255577,0.042255577,0.021127788,288.15
43800,7.8850574,0.04452738,0.04452738,0.02226369,288.15
44100,8.287356,0.04679919,0.04679919,0.023399595,288.15
44400,8.689655,0.049070995,0.049070995,0.024535498,288.15
44700,9.091954,0.0513428,0.0513428,0.0256714,288.15
45000,9.494253,0.053614605,0.053614605,0.026807303,288.15
45300,9.896552,0.05588641,0.05588641,0.027943205,288.15
45600,10.298851,0.058158215,0.058158215,0.029079108,288.15
45900,10.701149,0.06043002,0.06043002,0.03021501,288.15
46200,11.103448,0.06270183,0.06270183,0.031350914,288.15
46500,11.505747,0.06497363,0.06497363,0.032486815,288.15
46800,11.908046,0.06724544,0.06724544,0.03362272,288.15
47100,12.310345,0.06951724,0.06951724,0.03475862,288.15
47400,12.712644,0.07178905,0.07178905,0.035894524,288.15
47700,13.114943,0.07406085,0.07406085,0.037030425,288.15
48000,13.5172415,0.07633266,0.07633266,0.03816633,288.15
48300,13.91954,0.07860446,0.07860446,0.03930223,288.15
48600,14.533334,0.08207059,0.08207059,0.041035295,288.15
48900,15.2,0.08583529,0.08583529,0.042917646,288.15
49200,15.866667,0.0896,0.0896,0.0448,288.15
49500,12.85906,0.07261587,0.07261587,0.036307935,288.15
49800,12.624161,0.07128938,0.07128938,0.03564469,288.15
50100,12.389262,0.06996289,0.06996289,0.034981444,288.15
50400,12.154363,0.0686364,0.0686364,0.0343182,288.15
50700,11.919463,0.06730991,0.06730991,0.033654954,288.15
51000,11.684564,0.06598342,0.06598342,0.03299171,288.15
51300,11.449664,0.06465693,0.06465693,0.032328464,288.15
51600,11.214766,0.06333044,0.06333044,0.03166522,288.15
51900,10.979866,0.062003948,0.062003948,0.031001974,288.15
52200,10.7449665,0.060677458,0.060677458,0.030338729,288.15
52500,10.510067,0.059350967,0.059350967,0.029675484,288.15
52800,10.275167,0.058024477,0.058024477,0.029012239,288.15
53100,10.040269,0.056697987,0.056697987,0.028348994,288.15
53400,9.805369,0.055371497,0.055371497,0.027685748,288.15
53700,9.57047,0.054045007,0.054045007,0.027022503,288.15
54000,9.33557,0.052718516,0.052718516,0.026359258,288.15
54300,9.100671,0.051392026,0.051392026,0.025696013,288.15
54600,8.865772,0.050065536,0.050065536,0.025032768,288.15
54900,8.630873,0.048739046,0.048739046,0.024369523,288.15
55200,8.395973,0.047412556,0.047412556,0.023706278,288.15
55500,8.161074,0.046086065,0.046086065,0.023043033,288.15
55800,7.9261746,0.044759575,0.044759575,0.022379788,288.15
56100,7.691275,0.043433085,0.043433085,0.021716543,288.15
56400,7.456376,0.04210659,0.04210659,0.021053296,288.15
56700,7.2214766,0.0407801,0.0407801,0.02039005,288.15
57000,6.986577,0.03945361,0.03945361,0.019726805,288.15
57300,6.751678,0.03812712,0.03812712,0.01906356,288.15
57600,6.5167785,0.03680063,0.03680063,0.018400315,288.15
57900,6.2818794,0.03547414,0.03547414,0.01773707,288.15
58200,6.04698,0.03414765,0.03414765,0.017073825,288.15
58500,5.9766536,0.033750515,0.033750515,0.016875258,288.15
58800,5.9474707,0.033585716,0.033585716,0.016792858,288.15
59100,5.9182878,0.03342092,0.03342092,0.01671046,288.15
59400,5.889105,0.03325612,0.03325612,0.01662806,288.15
59700,5.8599224,0.033091325,0.033091325,0.016545663,288.15
60000,5.8307395,0.03292653,0.03292653,0.016463265,288.15
60300,5.8015566,0.03276173,0.03276173,0.016380865,288.15
60600,5.7723737,0.032596935,0.032596935,0.016298467,288.15
60900,5.743191,0.032432135,0.032432135,0.016216068,288.15
61200,5.714008,0.03226734,0.03226734,0.01613367,288.15
61500,5.684825,0.03210254,0.03210254,0.01605127,288.15
61800,5.655642,0.031937744,0.031937744,0.015968872,288.15
62100,5.626459,0.031772945,0.031772945,0.015886473,288.15
62400,5.597276,0.03160815,0.03160815,0.015804075,288.15
62700,5.5680933,0.03144335,0.03144335,0.015721675,288.15
63000,5.5389104,0.031278554,0.031278554,0.015639277,288.15
63300,5.5097275,0.031113757,0.031113757,0.015556878,288.15
63600,5.4805446,0.03094896,0.03094896,0.01547448,288.15
63900,5.4513617,0.030784162,0.030784162,0.015392081,288.15
64200,5.422179,0.030619364,0.030619364,0.015309682,288.15
64500,5.3929963,0.030454567,0.030454567,0.015227283,288.15
64800,5.3638134,0.03028977,0.03028977,0.015144885,288.15
65100,5.3346305,0.030124972,0.030124972,0.015062486,288.15
65400,5.3054476,0.029960174,0.029960174,0.014980087,288.15
65700,5.2762647,0.029795377,0.029795377,0.014897688,288.15
66000,5.2470818,0.029630579,0.029630579,0.0148152895,288.15
66300,5.217899,0.029465782,0.029465782,0.014732891,288.15
66600,5.188716,0.029300984,0.029300984,0.014650492,288.15
66900,5.159533,0.029136186,0.029136186,0.014568093,288.15
67200,5.13035,0.028971389,0.028971389,0.0144856945,288.15
67500,5.101167,0.028806591,0.028806591,0.014403296,288.15
67800,5.0719843,0.028641794,0.028641794,0.014320897,288.15
68100,5.0428014,0.028476996,0.028476996,0.014238498,288.15
68400,5.0136185,0.028312199,0.028312199,0.014156099,288.15
68700,4.984436,0.028147401,0.028147401,0.014073701,288.15
69000,4.955253,0.027982606,0.027982606,0.013991303,288.15
69300,4.92607,0.027817808,0.027817808,0.013908904,288.15
69600,4.8968873,0.02765301,0.02765301,0.013826505,288.15
69900,4.8677044,0.027488213,0.027488213,0.0137441065,288.15
70200,4.8385215,0.027323416,0.027323416,0.013661708,288.15
70500,4.8093386,0.027158618,0.027158618,0.013579309,288.15
70800,4.7801557,0.02699382,0.02699382,0.01349691,288.15
71100,4.7509727,0.026829023,0.026829023,0.013414511,288.15
71400,4.72179,0.026664225,0.026664225,0.013332113,288.15
71700,4.692607,0.026499428,0.026499428,0.013249714,288.15
72000,4.663424,0.02633463,0.02633463,0.013167315,288.15
72300,4.634241,0.026169833,0.026169833,0.013084916,288.15
72600,4.605058,0.026005035,0.026005035,0.013002518,288.15
72900,4.5758753,0.025840238,0.025840238,0.012920119,288.15
73200,4.5466924,0.02567544,0.02567544,0.01283772,288.15
73500,4.51751,0.025510643,0.025510643,0.012755321,288.15
73800,4.488327,0.025345845,0.025345845,0.012672923,288.15
74100,4.459144,0.025181048,0.025181048,0.012590524,288.15
74400,4.429961,0.02501625,0.02501625,0.012508125,288.15
74700,4.4007783,0.024851453,0.024851453,0.012425726,288.15
75000,4.3715954,0.024686657,0.024686657,0.012343328,288.15
75300,4.3424125,0.02452186,0.02452186,0.01226093,288.15
75600,4.3132296,0.024357062,0.024357062,0.012178531,288.15
75900,4.2840466,0.024192264,0.024192264,0.012096132,288.15
76200,4.2548637,0.024027467,0.024027467,0.012013733,288.15
76500,4.225681,0.02386267,0.02386267,0.011931335,288.15
76800,4.196498,0.023697872,0.023697872,0.011848936,288.15
77100,4.167315,0.023533074,0.023533074,0.011766537,288.15
77400,4.138132,0.023368277,0.023368277,0.011684138,288.15
77700,4.108949,0.02320348,0.02320348,0.01160174,288.15
78000,4.0797668,0.023038682,0.023038682,0.011519341,288.15
78300,4.050584,0.022873884,0.022873884,0.011436942,288.15
78600,4.021401,0.022709087,0.022709087,0.011354543,288.15
78900,3.992218,0.022544289,0.022544289,0.0112721445,288.15
79200,3.963035,0.022379491,0.022379491,0.011189746,288.15
79500,3.9338522,0.022214694,0.022214694,0.011107347,288.15
79800,3.9046693,0.022049896,0.022049896,0.011024948,288.15
80100,3.8754864,0.021885099,0.021885099,0.010942549,288.15
80400,3.8463035,0.021720301,0.021720301,0.010860151,288.15
80700,3.8171206,0.021555504,0.021555504,0.010777752,288.15
81000,3.7879376,0.021390708,0.021390708,0.010695354,288.15
81300,3.758755,0.02122591,0.02122591,0.010612955,288.15
81600,3.729572,0.021061113,0.021061113,0.010530557,288.15
81900,3.7003891,0.020896316,0.020896316,0.010448158,288.15
82200,3.6712062,0.020731518,0.020731518,0.010365759,288.15
82500,3.6420233,0.02056672,0.02056672,0.01028336,288.15
82800,3.6128404,0.020401923,0.020401923,0.0102009615,288.15
83100,3.5836575,0.020237125,0.020237125,0.010118563,288.15
83400,3.5544746,0.020072328,0.020072328,0.010036164,288.15
83700,3.525292,0.01990753,0.01990753,0.009953765,288.15
84000,3.496109,0.019742733,0.019742733,0.009871366,288.15
84300,3.466926,0.019577935,0.019577935,0.009788968,288.15
84600,3.4377432,0.019413138,0.019413138,0.009706569,288.15
84900,3.4085603,0.01924834,0.01924834,0.00962417,288.15
85200,3.3793774,0.019083543,0.019083543,0.009541771,288.15
85500,3.3501945,0.018918745,0.018918745,0.009459373,288.15
85800,3.3210118,0.018753948,0.018753948,0.009376974,288.15
86100,3.2918289,0.01858915,0.01858915,0.009294575,288.15
86400,3.262646,0.018424353,0.018424353,0.009212176,288.15
86700,3.233463,0.018259555,0.018259555,0.009129778,288.15
87000,3.2042801,0.01809476,0.01809476,0.00904738,288.15
87300,3.1750972,0.017929962,0.017929962,0.008964981,288.15
87600,3.1459143,0.017765164,0.017765164,0.008882582,288.15
87900,3.1167314,0.017600367,0.017600367,0.008800183,288.15
88200,3.0875487,0.01743557,0.01743557,0.008717785,288.15
88500,3.0583658,0.017270772,0.017270772,0.008635386,288.15
88800,3.029183,0.017105974,0.017105974,0.008552987,288.15
89100,3,0.016941177,0.016941177,0.008470588,288.15
89400,3.1533742,0.01780729,0.01780729,0.008903645,288.15
89700,3.3067484,0.018673403,0.018673403,0.009336702,288.15
90000,3.4601226,0.019539516,0.019539516,0.009769758,288.15
90300,3.613497,0.02040563,0.02040563,0.010202815,288.15
90600,3.7668712,0.021271743,0.021271743,0.010635871,288.15
90900,3.9202454,0.022137856,0.022137856,0.011068928,288.15
91200,4.07362,0.02300397,0.02300397,0.011501985,288.15
91500,4.226994,0.023870083,0.023870083,0.011935041,288.15
91800,4.380368,0.024736196,0.024736196,0.012368098,288.15
92100,4.5337424,0.025602309,0.025602309,0.0128011545,288.15
92400,4.6871166,0.026468422,0.026468422,0.013234211,288.15
92700,4.840491,0.027334535,0.027334535,0.013667268,288.15
93000,4.993865,0.028200649,0.028200649,0.014100324,288.15
93300,5.147239,0.029066764,0.029066764,0.014533382,288.15
93600,5.3006134,0.029932877,0.029932877,0.0149664385,288.15
93900,5.4539876,0.03079899,0.03079899,0.015399495,288.15
94200,5.607362,0.0316651,0.0316651,0.01583255,288.15
94500,5.760736,0.032531217,0.032531217,0.016265608,288.15
94800,5.9141107,0.033397328,0.033397328,0.016698664,288.15
95100,6.067485,0.034263443,0.034263443,0.017131722,288.15
95400,6.220859,0.035129555,0.035129555,0.017564777,288.15
95700,6.3742332,0.03599567,0.03599567,0.017997835,288.15
96000,6.5276074,0.03686178,0.03686178,0.01843089,288.15
96300,6.6809816,0.037727896,0.037727896,0.018863948,288.15
96600,6.834356,0.03859401,0.03859401,0.019297006,288.15
96900,6.98773,0.039460123,0.039460123,0.019730061,288.15
97200,7.141104,0.040326238,0.040326238,0.020163119,288.15
97500,7.2944784,0.04119235,0.04119235,0.020596175,288.15
97800,7.4478526,0.042058464,0.042058464,0.021029232,288.15
98100,7.601227,0.042924576,0.042924576,0.021462288,288.15
98400,7.754601,0.04379069,0.04379069,0.021895345,288.15
98700,7.9079757,0.044656802,0.044656802,0.022328401,288.15
99000,8.444445,0.047686275,0.047686275,0.023843138,288.15
99300,9.555555,0.053960785,0.053960785,0.026980393,288.15
99600,10.096,0.057012707,0.057012707,0.028506353,288.15
99900,10.256,0.057916235,0.057916235,0.028958118,288.15
100200,10.416,0.058819763,0.058819763,0.029409882,288.15
100500,10.576,0.059723295,0.059723295,0.029861648,288.15
100800,10.736,0.060626823,0.060626823,0.030313412,288.15
101100,10.896,0.06153035,0.06153035,0.030765176,288.15
101400,11.056,0.062433884,0.062433884,0.031216942,288.15
101700,11.216,0.063337415,0.063337415,0.031668708,288.15
102000,11.376,0.06424094,0.06424094,0.03212047,288.15
102300,11.536,0.06514447,0.06514447,0.032572236,288.15
102600,11.696,0.066048,0.066048,0.033024,288.15
102900,11.856,0.06695153,0.06695153,0.033475764,288.15
103200,12.016,0.06785506,0.06785506,0.03392753,288.15
103500,12.176,0.068758585,0.068758585,0.034379292,288.15
103800,12.336,0.06966212,0.06966212,0.03483106,288.15
104100,12.496,0.07056565,0.07056565,0.035282824,288.15
104400,12.656,0.07146917,0.07146917,0.035734586,288.15
104700,12.816,0.072372705,0.072372705,0.036186352,288.15
105000,12.976,0.07327624,0.07327624,0.03663812,288.15
105300,13.136,0.07417976,0.07417976,0.03708988,288.15
105600,13.296,0.07508329,0.07508329,0.037541647,288.15
105900,13.456,0.075986825,0.075986825,0.037993412,288.15
106200,13.616,0.07689035,0.07689035,0.038445175,288.15
106500,13.776,0.07779388,0.07779388,0.03889694,288.15
106800,13.936,0.07869741,0.07869741,0.039348707,288.15
107100,19.25,0.108705886,0.108705886,0.054352943,288.15
107400,24.714285,0.13956302,0.13956302,0.06978151,288.15
107700,29.357143,0.16578151,0.16578151,0.08289076,288.15
108000,34,0.192,0.192,0.096,288.15
108300,50,0.28235295,0.28235295,0.14117648,288.15
108600,66.5,0.3755294,0.3755294,0.1877647,288.15
108900,82,0.46305883,0.46305883,0.23152941,288.15
109200,104,0.5872941,0.5872941,0.29364705,288.15
109500,113,0.6381177,0.6381177,0.31905884,288.15
109800,130,0.7341176,0.7341176,0.3670588,288.15
110100,141,0.7962353,0.7962353,0.39811766,288.15
110400,148,0.8357647,0.8357647,0.41788235,288.15
110700,151,0.8527059,0.8527059,0.42635295,288.15
111000,160,0.9035294,0.9035294,0.4517647,288.15
111300,164.5,0.9289412,0.9289412,0.4644706,288.15
111600,169,0.9543529,0.9543529,0.47717646,288.15
111900,182.2,1.0288941,1.0288941,0.51444703,294.15
112200,187.57143,1.0592269,1.0592269,0.52961344,294.15
112500,193.33333,1.0917647,1.0917647,0.54588234,294.15
112800,194.25,1.0969412,1.0969412,0.5484706,294.15
113100,207,1.1689411,1.1689411,0.58447057,294.15
113400,212.33333,1.1990588,1.1990588,0.5995294,294.15
113700,213,1.2028235,1.2028235,0.60141176,294.15
114000,211.66667,1.1952941,1.1952941,0.5976471,294.15
114300,209.25,1.1816471,1.1816471,0.59082353,294.15
114600,213.2,1.2039529,1.2039529,0.60197645,294.15
114900,217.2,1.2265412,1.2265412,0.6132706,294.15
115200,219,1.2367059,1.2367059,0.61835295,294.15
115500,224,1.2649412,1.2649412,0.6324706,294.15
115800,230,1.2988235,1.2988235,0.64941174,294.15
116100,232.5,1.3129412,1.3129412,0.6564706,294.15
116400,237.75,1.3425882,1.3425882,0.6712941,294.15
116700,250,1.4117647,1.4117647,0.7058824,294.15
117000,253,1.4287059,1.4287059,0.71435297,294.15
117300,256.2,1.4467765,1.4467765,0.72338825,294.15
117600,258.5,1.4597647,1.4597647,0.72988236,294.15
117900,255,1.44,1.44,0.72,294.15
118200,251.8,1.4219294,1.4219294,0.7109647,294.15
118500,237,1.3383529,1.3383529,0.66917646,294.15
118800,232.25,1.3115294,1.3115294,0.6557647,294.15
119100,235,1.3270588,1.3270588,0.6635294,294.15
119400,238.66667,1.3477647,1.3477647,0.67388237,294.15
119700,247,1.3948236,1.3948236,0.6974118,294.15
120000,242,1.3665882,1.3665882,0.6832941,294.15
120300,240.5,1.3581177,1.3581177,0.67905885,294.15
120600,243.33333,1.3741176,1.3741176,0.6870588,294.15
120900,240,1.3552941,1.3552941,0.67764705,294.15
121200,241.5,1.3637648,1.3637648,0.6818824,294.15
121500,247,1.3948236,1.3948236,0.6974118,294.15
121800,247,1.3948236,1.3948236,0.6974118,294.15
122100,250,1.4117647,1.4117647,0.7058824,294.15
122400,252.5,1.4258823,1.4258823,0.71294117,294.15
122700,260.5,1.4710588,1.4710588,0.7355294,294.15
123000,275,1.5529412,1.5529412,0.7764706,294.15
123300,305.33334,1.7242353,1.7242353,0.86211765,294.15
123600,284,1.6037647,1.6037647,0.8018823,294.15
123900,264,1.4908235,1.4908235,0.74541175,294.15
124200,245,1.3835294,1.3835294,0.6917647,294.15
124500,217,1.2254118,1.2254118,0.6127059,294.15
124800,209,1.1802353,1.1802353,0.59011763,294.15
125100,195,1.1011765,1.1011765,0.55058825,294.15
125400,168,0.9487059,0.9487059,0.47435296,294.15
125700,175,0.9882353,0.9882353,0.49411765,294.15
126000,160.33333,0.9054118,0.9054118,0.4527059,294.15
126300,157,0.8865882,0.8865882,0.4432941,294.15
126600,154,0.8696471,0.8696471,0.43482354,294.15
126900,152,0.85835296,0.85835296,0.42917648,294.15
127200,143.5,0.8103529,0.8103529,0.40517646,294.15
127500,142.66667,0.8056471,0.8056471,0.40282354,294.15
127800,151,0.8527059,0.8527059,0.42635295,294.15
128100,154.57143,0.87287396,0.87287396,0.43643698,294.15
128400,149,0.84141177,0.84141177,0.42070588,294.15
128700,154,0.8696471,0.8696471,0.43482354,294.15
129000,158,0.8922353,0.8922353,0.44611764,294.15
129300,157,0.8865882,0.8865882,0.4432941,294.15
129600,161.375,0.9112941,0.9112941,0.45564705,294.15
129900,163.25,0.92188233,0.92188233,0.46094117,294.15
130200,149,0.84141177,0.84141177,0.42070588,294.15
130500,153,0.864,0.864,0.432,294.15
130800,156.33333,0.8828235,0.8828235,0.44141176,294.15
131100,161.8,0.91369414,0.91369414,0.45684707,294.15
131400,159.8,0.9024,0.9024,0.4512,294.15
131700,164.5,0.9289412,0.9289412,0.4644706,294.15
132000,163.66667,0.9242353,0.9242353,0.46211764,294.15
132300,154,0.8696471,0.8696471,0.43482354,294.15
132600,136.75,0.7722353,0.7722353,0.38611764,294.15
132900,128,0.7228235,0.7228235,0.36141175,294.15
133200,118,0.6663529,0.6663529,0.33317646,294.15
133500,116,0.6550588,0.6550588,0.3275294,294.15
133800,108.5,0.6127059,0.6127059,0.30635294,294.15
134100,106,0.5985882,0.5985882,0.2992941,294.15
134400,86,0.48564705,0.48564705,0.24282353,294.15
134700,72.5,0.40941176,0.40941176,0.20470588,294.15
135000,71.75,0.40517646,0.40517646,0.20258823,294.15
135300,73.625,0.41576472,0.41576472,0.20788236,294.15
135600,72,0.40658823,0.40658823,0.20329411,294.15
135900,69.5,0.3924706,0.3924706,0.1962353,294.15
136200,64.57143,0.36463866,0.36463866,0.18231933,294.15
136500,62.42857,0.3525378,0.3525378,0.1762689,294.15
136800,60.285713,0.34043697,0.34043697,0.17021848,294.15
137100,57.8,0.3264,0.3264,0.1632,294.15
137400,57,0.32188237,0.32188237,0.16094118,294.15
137700,57,0.32188237,0.32188237,0.16094118,294.15
138000,55.125,0.3112941,0.3112941,0.15564705,294.15
138300,53.25,0.30070588,0.30070588,0.15035294,294.15
138600,51.375,0.29011765,0.29011765,0.14505883,294.15
